所得稅費用,稅前淨利,稅率,所得稅費用, 稅前淨利,稅率,所得稅費用, 稅前淨利,稅率,所得稅費用, 稅前淨利,稅率,所得稅費用, 稅前淨利,稅率,所得稅費用, 稅前淨利,稅率,所得稅費用, 稅前淨利,稅率,所得稅費用, 稅前淨利,稅率,所得稅費用, 稅前淨利,稅率
"-66,349","725,412","","-2,278,521","1,454,613","","10,689,733","2,024,395","","-417,215","2,469,282","","-1,501,100","-72,173","","15,809,417","1,746,011","","10,441,449","1,612,884","","8,220,167","1,126,385","","12,555,102","1,593,434",""
"7,957,823","223,000","","8,711,525","91,700","","8,163,321","132,000","","7,558,430","133,900","","5,283,258","-478,000","","8,639,133","384,000","","6,943,508","32,000","","6,085,844","309,549","","4,653,526","232,000",""
"6,432,300","197,108","","10,135,466","119,217","","7,852,459","176,149","","8,121,466","236,457","","7,544,338","229,696","","10,484,219","383,797","","7,734,910","582,135","","7,058,735","438,722","","6,732,269","294,504",""
"-681,862","46,099","","233,958","73,713","","283,007","-76,856","","316,443","-97,171","","245,226","15,702","","1,303,374","323,553","","2,880,243","173,588","","276,466","55,469","","522,460","97,455",""
"713,336","1,354","","424,278","34,567","","1,172,110","-32,073","","735,885","42,695","","56,537","-875","","401,742","-921","","400,535","38,278","","275,228","52,207","","552,162","1,663",""
"203,850","29,273","","-165,776","-25,280","","-226,652","-36,593","","158,508","53,246","","-46,922","-13,997","","121,277","-5,986","","273,310","2,142","","215,453","-5,769","","269,834","92,861",""
"154,580","46,606","","203,286","14,352","","347,659","98,032","","527,188","125,187","","462,429","118,204","","360,572","80,635",""
"109,254","40,581","","21,428","-1,941","","56,886","6,479","","116,253","25,788","","8,670","947","","305,369","36,794","","125,034","56,193","","346,670","70,196","","310,725","62,801",""
"183,629,948","17,471,146","","144,707,844","10,506,565","","169,290,204","7,685,195","","94,981,022","5,763,186","","110,758,818","10,825,650","","120,751,406","11,574,313","","134,806,499","7,550,582","","93,819,423","244,388","","91,778,584","-537,531",""
"16,455,870","768,342","","13,958,548","335,478","","32,193,679","1,232,242","","37,277,943","572,303","","20,969,817","1,779,820","","34,832,930","1,240,228","","24,366,186","1,794,242","","18,398,859","125,226","","14,341,277","18,292",""
"9,889,376","2,069,928","","11,366,124","756,429","","25,318,148","1,487,692","","4,468,243","594,215","","-21,393,621","926,454","","19,566,349","2,604,587","","37,016,039","3,208,211","","7,027,530","838","","31,877,290","33,909",""
"14,585,186","1,493,827","","15,052,588","1,326,630","","19,032,589","695,089","","7,667,691","923,145","","7,341,503","1,181,451","","13,729,800","1,564,551","","18,093,680","1,191,628","","-5,365,218","-674,031","","3,554,143","-682,391",""
"-3,353,421","-956,348","","5,394,740","543,790","","16,965,813","818,973","","3,042,749","217,498","","316,386","NA","","-1,072,938","-299,984",""

"-55,101,325","-486,621","","-66,171,081","-4,907,267","","6,382,166","-310,491","","-27,245,437","-476,102","","25,930,092","4,662,706","","58,239,878","1,822,112","","10,119,034","976,576","","16,100,420","473,429","","28,024,198","61,346",""
"8,479,006","963,291","","7,417,829","831,927","","5,524,907","670,567","","4,211,003","932,709","","3,317,271","802,230","","4,300,617","895,879","","4,284,124","768,124","","5,375,134","920,364","","4,060,795","658,768",""
"10,969,136","812,801","","6,064,667","257,944","","8,839,024","943,410","","7,116,018","90,000","","5,044,958","-26,530","","5,223,610","423,360","","5,330,314","3,870","","4,055,792","-172,150","","4,335,618","89,280",""
"-62,069,199","13,716,610","","-43,348,134","17,013","","-18,718,306","17,150,306","","-1,480,618","11,930,636","","-101,356,517","-25,790,430","","-31,242,530","-7,984,588","","-2,893,811","-2,538,292","","928,355","-1,010,235","","8,221,675","1,320,921",""
"9,198,707","821,648","","8,866,328","855,868","","9,020,312","1,410,550","","7,632,867","1,370,336","","7,590,316","1,387,387","","9,818,817","773,794","","7,031,482","680,892","","4,039,588","475,838","","2,416,125","353,367",""
"107,466,768","12,704,391","","91,791,474","10,200,475","","84,440,740","7,286,189","","82,111,480","6,426,375","","64,038,499","8,905,324","","89,544,359","11,854,847","","70,672,584","10,809,856","","47,076,234","6,291,318","","33,724,170","3,966,855",""
"28,935,249","-2,265,758","","-139,364,145","-18,798,688","","14,655,986","2,824,241","","-18,769,047","-4,733,350","","7,020,765","1,385,170","","24,752,693","6,019,494",""
"12,581,196","173,856","","9,812,290","364,609","","11,124,303","195,264","","7,838,400","-22,427","","3,612,521","11,689","","11,021,522","4,535","","3,739,275","132,194","","2,095,823","10,946","","2,753,021","140,894",""
"860,702","126,699","","1,176,310","105,260","","1,212,724","132,294","","1,421,263","276,600","","1,021,786","130,005","","1,243,768","159,927","","948,812","137,494","","775,483","173,582","","110,958","-9,190",""
"8,631,607","-81,570","","11,861,602","774,106","","13,009,200","159,030","","8,135,707","47,011","","4,614,504","-7,440","","11,273,814","-93,283","","8,309,973","-27,210","","8,350,185","-33,169","","9,247,869","0",""
"135,343","76,539","","-2,348,234","-393,963","","11,620,111","998,017","","-3,939,466","-134,554","","-36,690,078","-4,338,680","","-3,138,060","-619,410","","-357,723","-591,647","","414,276","-230,956","","4,002,833","-179,894",""
"40,466","-88,065","","-3,146,708","-54,347","","15,864,882","699,431","","-10,732,460","-877,107","","687,757","48,491","","11,659,979","1,278,277","","648,858","140,670","","14,665,790","2,441,879","","13,603,481","1,518,812",""
"-246,542","-297,977","","-10,206,125","-807,247","","12,812,544","1,024,691","","-17,861,982","-2,020,853","","791,375","244,082","","7,005,088","984,804","","1,628,995","502,736","","10,025,059","762,105","","11,899,677","2,102,413",""
"-3,725,333","-881,079","","-17,390,290","-500,606","","-1,958,149","-86,231","","-2,263,924","-416,648","","1,136,691","-189,369","","3,682,629","439,694",""
"16,384,842","1,693,237","","14,842,996","1,374,233","","16,398,144","2,575,958","","18,132,491","4,243,629","","19,777,097","4,405,711","","8,055,864","1,442,867","","17,478,501","1,307,795","","18,311,457","2,074,759","","19,415,910","2,757,454",""
"16,925,103","144,135","","69,849,671","7,873,875","","44,491,309","4,957,709","","25,212,464","2,603,562","","31,590,479","2,955,130","","32,151,297","3,212,435","","26,957,878","1,710,551","","12,155,939","373,995","","3,960,528","105,182",""
"47,374,923","7,470,949","","55,378,638","8,310,263","","56,438,065","8,829,165","","56,163,421","12,405,995","","58,472,865","13,462,523","","61,096,470","12,847,151","","57,643,316","12,751,979","","59,602,851","11,949,967","","60,761,882","10,891,570",""
"7,779,949","990,587","","7,430,465","1,078,055","","6,628,936","903,179","","4,643,740","584,616","","4,381,744","862,063","","4,810,066","1,187,653","","5,057,588","1,235,633","","4,630,654","977,969","","3,785,908","738,511",""
"7,150,429","56,173","","36,517,324","3,546,466","","50,364,883","3,089,707","","29,439,528","0","","2,527,028","-3,570,609","","51,185,137","3,492,486","","34,177,195","1,605,476","","39,842,625","0","","43,234,959","1,975,528",""
"16,404,523","1,742,003","","40,562,144","4,837,686","","51,214,087","5,667,656","","29,521,707","1,988,278","","18,134,488","-1,574,986","","50,689,105","2,878,466","","32,109,906","990,889","","37,757,977","3,635,213","","38,420,626","2,071,065",""
"2,370,128","352,268","","146,071","72,338","","1,599,545","136,577","","615,460","22,587","","712,653","31,264","","1,182,982","158,298",""
"839,759","42,239","","-61,004","31,018","","39,059","34,527","","648,485","134,949","","-327,844","2,284","","56,450","9,884","","80,296","17,720","","-555,818","0","","848,321","0",""
"922,540","215,143","","801,154","127,903","","1,077,825","97,549","","897,818","11,219","","747,122","12,170","","529,491","14,549","","448,438","10,261","","344,531","-3,777","","335,533","5,330",""
"701,524","83,262","","1,922,537","302,803","","1,754,895","302,079","","1,202,495","216,744","","469,766","130,756","","1,001,098","215,405","","436,216","71,373","","440,502","107,582","","617,256","106,129",""
"-75,191","-11,444","","299,573","28,541","","555,256","29,019","","647,533","111,020","","-1,691,662","-150,795","","266,648","54,647","","106,837","1,704","","64,460","932","","187,572","10,850",""
"2,438,517","-280,433","","24,670,975","2,172,260","","44,440,525","3,517,272","","47,975,391","4,106,298","","14,462,928","-730,394","","78,529,202","8,918,408","","53,627,386","8,680,116","","62,069,388","4,819,241","","53,875,060","3,617,342",""
"-461,919","-21,492","","-798,363","9,241","","90,083","63,654","","720,875","18,936","","-978,256","-8,654","","525,187","139,141","","428,605","136,234","","-408,850","47,673","","815,215","242,192",""
"937,071","42,350","","258,848","-25,870","","989,276","-6,701",""
"1,309,917","100,645","","1,152,191","99,018","","2,852,623","159,219","","1,505,598","66,408","","-997,504","-1,046,768","","2,330,775","376,133","","2,169,384","422,112","","829,562","144,243","","1,018,836","169,195",""
"1,693,122","275,043","","12,021,796","1,095,897","","6,980,206","656,897","","2,096,295","31,569","","-1,714,836","-161,395","","3,161,761","294,110","","1,881,248","147,338","","1,407,534","204,599","","1,051,348","351,578",""
"189,318","27,604","","642,509","16,771","","239,420","29,058","","166,626","54,248","","348,079","22,898","","395,858","43,056","","305,316","28,880","","308,431","40,393","","230,200","25,542",""
